competencia,uf,tipo_estabelecimento,natureza_juridica,qtd_estabelecimentos
2024-10,RS,Hospital Geral,Filantr<c3><b3>pico,46
2024-10,BR,Hospital Geral,Privado,1070
2024-10,SP,Hospital Geral,Privado,236
2024-10,RJ,Hospital Geral,Privado,97
2024-10,MG,Hospital Geral,Privado,107
2024-10,BA,Hospital Geral,Privado,74
2024-10,RS,Hospital Geral,Privado,65
2025-01,BR,Hospital Geral,P<c3><ba>blico,1214
2025-01,SP,Hospital Geral,P<c3><ba>blico,267
2025-01,RJ,Hospital Geral,P<c3><ba>blico,110
2025-01,MG,Hospital Geral,P<c3><ba>blico,124
2025-01,BA,Hospital Geral,P<c3><ba>blico,84
2025-01,RS,Hospital Geral,P<c3><ba>blico,75
2025-01,BR,Hospital Geral,Filantr<c3><b3>pico,773
2025-01,SP,Hospital Geral,Filantr<c3><b3>pico,167
2025-01,RJ,Hospital Geral,Filantr<c3><b3>pico,69
2025-01,MG,Hospital Geral,Filantr<c3><b3>pico,76
2025-01,BA,Hospital Geral,Filantr<c3><b3>pico,55
2025-01,RS,Hospital Geral,Filantr<c3><b3>pico,47
2025-01,BR,Hospital Geral,Privado,1066
2025-01,SP,Hospital Geral,Privado,227
2025-01,RJ,Hospital Geral,Privado,97
2025-01,MG,Hospital Geral,Privado,106
2025-01,BA,Hospital Geral,Privado,77
2025-01,RS,Hospital Geral,Privado,66
2025-04,BR,Hospital Geral,P<c3><ba>blico,1226
2025-04,SP,Hospital Geral,P<c3><ba>blico,274
2025-04,RJ,Hospital Geral,P<c3><ba>blico,113
2025-04,MG,Hospital Geral,P<c3><ba>blico,126
2025-04,BA,Hospital Geral,P<c3><ba>blico,87
2025-04,RS,Hospital Geral,P<c3><ba>blico,76
2025-04,BR,Hospital Geral,Filantr<c3><b3>pico,782
2025-04,SP,Hospital Geral,Filantr<c3><b3>pico,165
2025-04,RJ,Hospital Geral,Filantr<c3><b3>pico,70
2025-04,MG,Hospital Geral,Filantr<c3><b3>pico,78
2025-04,BA,Hospital Geral,Filantr<c3><b3>pico,54
2025-04,RS,Hospital Geral,Filantr<c3><b3>pico,46
2025-04,BR,Hospital Geral,Privado,1078
2025-04,SP,Hospital Geral,Privado,238
2025-04,RJ,Hospital Geral,Privado,99
2025-04,MG,Hospital Geral,Privado,106
2025-04,BA,Hospital Geral,Privado,76
2025-04,RS,Hospital Geral,Privado,63
2025-07,BR,Hospital Geral,P<c3><ba>blico,1248
2025-07,SP,Hospital Geral,P<c3><ba>blico,278
2025-07,RJ,Hospital Geral,P<c3><ba>blico,111
2025-07,MG,Hospital Geral,P<c3><ba>blico,123
2025-07,BA,Hospital Geral,P<c3><ba>blico,86
2025-07,RS,Hospital Geral,P<c3><ba>blico,75
2025-07,BR,Hospital Geral,Filantr<c3><b3>pico,777
2025-07,SP,Hospital Geral,Filantr<c3><b3>pico,171
2025-07,RJ,Hospital Geral,Filantr<c3><b3>pico,68
2025-07,MG,Hospital Geral,Filantr<c3><b3>pico,76
2025-07,BA,Hospital Geral,Filantr<c3><b3>pico,55
2025-07,RS,Hospital Geral,Filantr<c3><b3>pico,46
2025-07,BR,Hospital Geral,Privado,1109
2025-07,SP,Hospital Geral,Privado,240
2025-07,RJ,Hospital Geral,Privado,99
2025-07,MG,Hospital Geral,Privado,108
2025-07,BA,Hospital Geral,Privado,73
2025-07,RS,Hospital Geral,Privado,65
2018-01,BR,Hospital Especializado,P<c3><ba>blico,264
2018-01,SP,Hospital Especializado,P<c3><ba>blico,58
2018-01,RJ,Hospital Especializado,P<c3><ba>blico,23
2018-01,MG,Hospital Especializado,P<c3><ba>blico,25
2018-01,BA,Hospital Especializado,P<c3><ba>blico,18
2018-01,RS,Hospital Especializado,P<c3><ba>blico,15
2018-01,BR,Hospital Especializado,Filantr<c3><b3>pico,163
2018-01,SP,Hospital Especializado,Filantr<c3><b3>pico,35
2018-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2018-01,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2018-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2018-01,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2018-01,BR,Hospital Especializado,Privado,223
2018-01,SP,Hospital Especializado,Privado,49
2018-01,RJ,Hospital Especializado,Privado,20
2018-01,MG,Hospital Especializado,Privado,22
2018-01,BA,Hospital Especializado,Privado,16
2018-01,RS,Hospital Especializado,Privado,13
2018-04,BR,Hospital Especializado,P<c3><ba>blico,258
2018-04,SP,Hospital Especializado,P<c3><ba>blico,57
2018-04,RJ,Hospital Especializado,P<c3><ba>blico,23
2018-04,MG,Hospital Especializado,P<c3><ba>blico,25
2018-04,BA,Hospital Especializado,P<c3><ba>blico,18
2018-04,RS,Hospital Especializado,P<c3><ba>blico,15
2018-04,BR,Hospital Especializado,Filantr<c3><b3>pico,162
2018-04,SP,Hospital Especializado,Filantr<c3><b3>pico,35
2018-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2018-04,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2018-04,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2018-04,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2018-04,BR,Hospital Especializado,Privado,232
2018-04,SP,Hospital Especializado,Privado,50
2018-04,RJ,Hospital Especializado,Privado,20
2018-04,MG,Hospital Especializado,Privado,22
2018-04,BA,Hospital Especializado,Privado,16
2018-04,RS,Hospital Especializado,Privado,13
2018-07,BR,Hospital Especializado,P<c3><ba>blico,265
2018-07,SP,Hospital Especializado,P<c3><ba>blico,59
2018-07,RJ,Hospital Especializado,P<c3><ba>blico,24
2018-07,MG,Hospital Especializado,P<c3><ba>blico,26
2018-07,BA,Hospital Especializado,P<c3><ba>blico,18
2018-07,RS,Hospital Especializado,P<c3><ba>blico,15
2018-07,BR,Hospital Especializado,Filantr<c3><b3>pico,163
2018-07,SP,Hospital Especializado,Filantr<c3><b3>pico,36
2018-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2018-07,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2018-07,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2018-07,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2018-07,BR,Hospital Especializado,Privado,227
2018-07,SP,Hospital Especializado,Privado,52
2018-07,RJ,Hospital Especializado,Privado,20
2018-07,MG,Hospital Especializado,Privado,22
2018-07,BA,Hospital Especializado,Privado,16
2018-07,RS,Hospital Especializado,Privado,13
2018-10,BR,Hospital Especializado,P<c3><ba>blico,263
2018-10,SP,Hospital Especializado,P<c3><ba>blico,57
2018-10,RJ,Hospital Especializado,P<c3><ba>blico,23
2018-10,MG,Hospital Especializado,P<c3><ba>blico,26
2018-10,BA,Hospital Especializado,P<c3><ba>blico,18
2018-10,RS,Hospital Especializado,P<c3><ba>blico,16
2018-10,BR,Hospital Especializado,Filantr<c3><b3>pico,163
2018-10,SP,Hospital Especializado,Filantr<c3><b3>pico,35
2018-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2018-10,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2018-10,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2018-10,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2018-10,BR,Hospital Especializado,Privado,230
2018-10,SP,Hospital Especializado,Privado,50
2018-10,RJ,Hospital Especializado,Privado,20
2018-10,MG,Hospital Especializado,Privado,22
2018-10,BA,Hospital Especializado,Privado,16
2018-10,RS,Hospital Especializado,Privado,13
2019-01,BR,Hospital Especializado,P<c3><ba>blico,256
2019-01,SP,Hospital Especializado,P<c3><ba>blico,57
2019-01,RJ,Hospital Especializado,P<c3><ba>blico,23
2019-01,MG,Hospital Especializado,P<c3><ba>blico,26
2019-01,BA,Hospital Especializado,P<c3><ba>blico,18
2019-01,RS,Hospital Especializado,P<c3><ba>blico,16
2019-01,BR,Hospital Especializado,Filantr<c3><b3>pico,159
2019-01,SP,Hospital Especializado,Filantr<c3><b3>pico,35
2019-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2019-01,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2019-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2019-01,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2019-01,BR,Hospital Especializado,Privado,229
2019-01,SP,Hospital Especializado,Privado,50
2019-01,RJ,Hospital Especializado,Privado,21
2019-01,MG,Hospital Especializado,Privado,22
2019-01,BA,Hospital Especializado,Privado,16
2019-01,RS,Hospital Especializado,Privado,13
2019-04,BR,Hospital Especializado,P<c3><ba>blico,266
2019-04,SP,Hospital Especializado,P<c3><ba>blico,58
2019-04,RJ,Hospital Especializado,P<c3><ba>blico,24
2019-04,MG,Hospital Especializado,P<c3><ba>blico,26
2019-04,BA,Hospital Especializado,P<c3><ba>blico,18
2019-04,RS,Hospital Especializado,P<c3><ba>blico,16
2019-04,BR,Hospital Especializado,Filantr<c3><b3>pico,166
2019-04,SP,Hospital Especializado,Filantr<c3><b3>pico,37
2019-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2019-04,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2019-04,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2019-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2019-04,BR,Hospital Especializado,Privado,228
2019-04,SP,Hospital Especializado,Privado,51
2019-04,RJ,Hospital Especializado,Privado,20
2019-04,MG,Hospital Especializado,Privado,22
2019-04,BA,Hospital Especializado,Privado,15
2019-04,RS,Hospital Especializado,Privado,14
2019-07,BR,Hospital Especializado,P<c3><ba>blico,267
2019-07,SP,Hospital Especializado,P<c3><ba>blico,57
2019-07,RJ,Hospital Especializado,P<c3><ba>blico,24
2019-07,MG,Hospital Especializado,P<c3><ba>blico,26
2019-07,BA,Hospital Especializado,P<c3><ba>blico,18
2019-07,RS,Hospital Especializado,P<c3><ba>blico,15
2019-07,BR,Hospital Especializado,Filantr<c3><b3>pico,162
2019-07,SP,Hospital Especializado,Filantr<c3><b3>pico,36
2019-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2019-07,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2019-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2019-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2019-07,BR,Hospital Especializado,Privado,235
2019-07,SP,Hospital Especializado,Privado,51
2019-07,RJ,Hospital Especializado,Privado,20
2019-07,MG,Hospital Especializado,Privado,22
2019-07,BA,Hospital Especializado,Privado,16
2019-07,RS,Hospital Especializado,Privado,14
2019-10,BR,Hospital Especializado,P<c3><ba>blico,261
2019-10,SP,Hospital Especializado,P<c3><ba>blico,57
2019-10,RJ,Hospital Especializado,P<c3><ba>blico,23
2019-10,MG,Hospital Especializado,P<c3><ba>blico,26
2019-10,BA,Hospital Especializado,P<c3><ba>blico,18
2019-10,RS,Hospital Especializado,P<c3><ba>blico,15
2019-10,BR,Hospital Especializado,Filantr<c3><b3>pico,166
2019-10,SP,Hospital Especializado,Filantr<c3><b3>pico,36
2019-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2019-10,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2019-10,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2019-10,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2019-10,BR,Hospital Especializado,Privado,234
2019-10,SP,Hospital Especializado,Privado,51
2019-10,RJ,Hospital Especializado,Privado,20
2019-10,MG,Hospital Especializado,Privado,23
2019-10,BA,Hospital Especializado,Privado,16
2019-10,RS,Hospital Especializado,Privado,13
2020-01,BR,Hospital Especializado,P<c3><ba>blico,264
2020-01,SP,Hospital Especializado,P<c3><ba>blico,61
2020-01,RJ,Hospital Especializado,P<c3><ba>blico,24
2020-01,MG,Hospital Especializado,P<c3><ba>blico,26
2020-01,BA,Hospital Especializado,P<c3><ba>blico,18
2020-01,RS,Hospital Especializado,P<c3><ba>blico,15
2020-01,BR,Hospital Especializado,Filantr<c3><b3>pico,166
2020-01,SP,Hospital Especializado,Filantr<c3><b3>pico,37
2020-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2020-01,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2020-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2020-01,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2020-01,BR,Hospital Especializado,Privado,236
2020-01,SP,Hospital Especializado,Privado,51
2020-01,RJ,Hospital Especializado,Privado,20
2020-01,MG,Hospital Especializado,Privado,23
2020-01,BA,Hospital Especializado,Privado,16
2020-01,RS,Hospital Especializado,Privado,13
2020-04,BR,Hospital Especializado,P<c3><ba>blico,266
2020-04,SP,Hospital Especializado,P<c3><ba>blico,59
2020-04,RJ,Hospital Especializado,P<c3><ba>blico,24
2020-04,MG,Hospital Especializado,P<c3><ba>blico,26
2020-04,BA,Hospital Especializado,P<c3><ba>blico,19
2020-04,RS,Hospital Especializado,P<c3><ba>blico,16
2020-04,BR,Hospital Especializado,Filantr<c3><b3>pico,165
2020-04,SP,Hospital Especializado,Filantr<c3><b3>pico,37
2020-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2020-04,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2020-04,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2020-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2020-04,BR,Hospital Especializado,Privado,234
2020-04,SP,Hospital Especializado,Privado,51
2020-04,RJ,Hospital Especializado,Privado,21
2020-04,MG,Hospital Especializado,Privado,23
2020-04,BA,Hospital Especializado,Privado,16
2020-04,RS,Hospital Especializado,Privado,14
2020-07,BR,Hospital Especializado,P<c3><ba>blico,273
2020-07,SP,Hospital Especializado,P<c3><ba>blico,59
2020-07,RJ,Hospital Especializado,P<c3><ba>blico,24
2020-07,MG,Hospital Especializado,P<c3><ba>blico,26
2020-07,BA,Hospital Especializado,P<c3><ba>blico,19
2020-07,RS,Hospital Especializado,P<c3><ba>blico,15
2020-07,BR,Hospital Especializado,Filantr<c3><b3>pico,166
2020-07,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2020-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,14
2020-07,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2020-07,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2020-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2020-07,BR,Hospital Especializado,Privado,235
2020-07,SP,Hospital Especializado,Privado,52
2020-07,RJ,Hospital Especializado,Privado,20
2020-07,MG,Hospital Especializado,Privado,23
2020-07,BA,Hospital Especializado,Privado,16
2020-07,RS,Hospital Especializado,Privado,13
2020-10,BR,Hospital Especializado,P<c3><ba>blico,274
2020-10,SP,Hospital Especializado,P<c3><ba>blico,59
2020-10,RJ,Hospital Especializado,P<c3><ba>blico,24
2020-10,MG,Hospital Especializado,P<c3><ba>blico,26
2020-10,BA,Hospital Especializado,P<c3><ba>blico,19
2020-10,RS,Hospital Especializado,P<c3><ba>blico,16
2020-10,BR,Hospital Especializado,Filantr<c3><b3>pico,170
2020-10,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2020-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2020-10,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2020-10,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2020-10,RS,Hospital Especializado,Filantr<c3><b3>pico,9
2020-10,BR,Hospital Especializado,Privado,235
2020-10,SP,Hospital Especializado,Privado,52
2020-10,RJ,Hospital Especializado,Privado,22
2020-10,MG,Hospital Especializado,Privado,23
2020-10,BA,Hospital Especializado,Privado,16
2020-10,RS,Hospital Especializado,Privado,14
2021-01,BR,Hospital Especializado,P<c3><ba>blico,277
2021-01,SP,Hospital Especializado,P<c3><ba>blico,59
2021-01,RJ,Hospital Especializado,P<c3><ba>blico,25
2021-01,MG,Hospital Especializado,P<c3><ba>blico,27
2021-01,BA,Hospital Especializado,P<c3><ba>blico,18
2021-01,RS,Hospital Especializado,P<c3><ba>blico,16
2021-01,BR,Hospital Especializado,Filantr<c3><b3>pico,168
2021-01,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2021-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2021-01,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2021-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2021-01,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2021-01,BR,Hospital Especializado,Privado,238
2021-01,SP,Hospital Especializado,Privado,52
2021-01,RJ,Hospital Especializado,Privado,21
2021-01,MG,Hospital Especializado,Privado,23
2021-01,BA,Hospital Especializado,Privado,16
2021-01,RS,Hospital Especializado,Privado,14
2021-04,BR,Hospital Especializado,P<c3><ba>blico,270
2021-04,SP,Hospital Especializado,P<c3><ba>blico,58
2021-04,RJ,Hospital Especializado,P<c3><ba>blico,25
2021-04,MG,Hospital Especializado,P<c3><ba>blico,27
2021-04,BA,Hospital Especializado,P<c3><ba>blico,18
2021-04,RS,Hospital Especializado,P<c3><ba>blico,16
2021-04,BR,Hospital Especializado,Filantr<c3><b3>pico,170
2021-04,SP,Hospital Especializado,Filantr<c3><b3>pico,36
2021-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2021-04,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2021-04,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2021-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2021-04,BR,Hospital Especializado,Privado,238
2021-04,SP,Hospital Especializado,Privado,52
2021-04,RJ,Hospital Especializado,Privado,21
2021-04,MG,Hospital Especializado,Privado,23
2021-04,BA,Hospital Especializado,Privado,17
2021-04,RS,Hospital Especializado,Privado,14
2021-07,BR,Hospital Especializado,P<c3><ba>blico,278
2021-07,SP,Hospital Especializado,P<c3><ba>blico,60
2021-07,RJ,Hospital Especializado,P<c3><ba>blico,24
2021-07,MG,Hospital Especializado,P<c3><ba>blico,26
2021-07,BA,Hospital Especializado,P<c3><ba>blico,19
2021-07,RS,Hospital Especializado,P<c3><ba>blico,16
2021-07,BR,Hospital Especializado,Filantr<c3><b3>pico,170
2021-07,SP,Hospital Especializado,Filantr<c3><b3>pico,37
2021-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2021-07,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2021-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2021-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2021-07,BR,Hospital Especializado,Privado,237
2021-07,SP,Hospital Especializado,Privado,53
2021-07,RJ,Hospital Especializado,Privado,21
2021-07,MG,Hospital Especializado,Privado,24
2021-07,BA,Hospital Especializado,Privado,17
2021-07,RS,Hospital Especializado,Privado,13
2021-10,BR,Hospital Especializado,P<c3><ba>blico,274
2021-10,SP,Hospital Especializado,P<c3><ba>blico,60
2021-10,RJ,Hospital Especializado,P<c3><ba>blico,24
2021-10,MG,Hospital Especializado,P<c3><ba>blico,27
2021-10,BA,Hospital Especializado,P<c3><ba>blico,18
2021-10,RS,Hospital Especializado,P<c3><ba>blico,16
2021-10,BR,Hospital Especializado,Filantr<c3><b3>pico,172
2021-10,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2021-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2021-10,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2021-10,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2021-10,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2021-10,BR,Hospital Especializado,Privado,234
2021-10,SP,Hospital Especializado,Privado,52
2021-10,RJ,Hospital Especializado,Privado,21
2021-10,MG,Hospital Especializado,Privado,24
2021-10,BA,Hospital Especializado,Privado,16
2021-10,RS,Hospital Especializado,Privado,14
2022-01,BR,Hospital Especializado,P<c3><ba>blico,277
2022-01,SP,Hospital Especializado,P<c3><ba>blico,60
2022-01,RJ,Hospital Especializado,P<c3><ba>blico,25
2022-01,MG,Hospital Especializado,P<c3><ba>blico,28
2022-01,BA,Hospital Especializado,P<c3><ba>blico,20
2022-01,RS,Hospital Especializado,P<c3><ba>blico,16
2022-01,BR,Hospital Especializado,Filantr<c3><b3>pico,167
2022-01,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2022-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2022-01,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2022-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2022-01,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2022-01,BR,Hospital Especializado,Privado,237
2022-01,SP,Hospital Especializado,Privado,52
2022-01,RJ,Hospital Especializado,Privado,21
2022-01,MG,Hospital Especializado,Privado,23
2022-01,BA,Hospital Especializado,Privado,16
2022-01,RS,Hospital Especializado,Privado,13
2022-04,BR,Hospital Especializado,P<c3><ba>blico,275
2022-04,SP,Hospital Especializado,P<c3><ba>blico,62
2022-04,RJ,Hospital Especializado,P<c3><ba>blico,25
2022-04,MG,Hospital Especializado,P<c3><ba>blico,28
2022-04,BA,Hospital Especializado,P<c3><ba>blico,19
2022-04,RS,Hospital Especializado,P<c3><ba>blico,16
2022-04,BR,Hospital Especializado,Filantr<c3><b3>pico,173
2022-04,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2022-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2022-04,MG,Hospital Especializado,Filantr<c3><b3>pico,16
2022-04,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2022-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2022-04,BR,Hospital Especializado,Privado,240
2022-04,SP,Hospital Especializado,Privado,53
2022-04,RJ,Hospital Especializado,Privado,21
2022-04,MG,Hospital Especializado,Privado,23
2022-04,BA,Hospital Especializado,Privado,17
2022-04,RS,Hospital Especializado,Privado,14
2022-07,BR,Hospital Especializado,P<c3><ba>blico,274
2022-07,SP,Hospital Especializado,P<c3><ba>blico,59
2022-07,RJ,Hospital Especializado,P<c3><ba>blico,24
2022-07,MG,Hospital Especializado,P<c3><ba>blico,27
2022-07,BA,Hospital Especializado,P<c3><ba>blico,19
2022-07,RS,Hospital Especializado,P<c3><ba>blico,16
2022-07,BR,Hospital Especializado,Filantr<c3><b3>pico,173
2022-07,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2022-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2022-07,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2022-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2022-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2022-07,BR,Hospital Especializado,Privado,249
2022-07,SP,Hospital Especializado,Privado,52
2022-07,RJ,Hospital Especializado,Privado,21
2022-07,MG,Hospital Especializado,Privado,24
2022-07,BA,Hospital Especializado,Privado,17
2022-07,RS,Hospital Especializado,Privado,14
2022-10,BR,Hospital Especializado,P<c3><ba>blico,275
2022-10,SP,Hospital Especializado,P<c3><ba>blico,59
2022-10,RJ,Hospital Especializado,P<c3><ba>blico,25
2022-10,MG,Hospital Especializado,P<c3><ba>blico,27
2022-10,BA,Hospital Especializado,P<c3><ba>blico,19
2022-10,RS,Hospital Especializado,P<c3><ba>blico,16
2022-10,BR,Hospital Especializado,Filantr<c3><b3>pico,176
2022-10,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2022-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2022-10,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2022-10,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2022-10,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2022-10,BR,Hospital Especializado,Privado,244
2022-10,SP,Hospital Especializado,Privado,53
2022-10,RJ,Hospital Especializado,Privado,21
2022-10,MG,Hospital Especializado,Privado,24
2022-10,BA,Hospital Especializado,Privado,17
2022-10,RS,Hospital Especializado,Privado,14
2023-01,BR,Hospital Especializado,P<c3><ba>blico,274
2023-01,SP,Hospital Especializado,P<c3><ba>blico,61
2023-01,RJ,Hospital Especializado,P<c3><ba>blico,25
2023-01,MG,Hospital Especializado,P<c3><ba>blico,27
2023-01,BA,Hospital Especializado,P<c3><ba>blico,19
2023-01,RS,Hospital Especializado,P<c3><ba>blico,16
2023-01,BR,Hospital Especializado,Filantr<c3><b3>pico,174
2023-01,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2023-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2023-01,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2023-01,BA,Hospital Especializado,Filantr<c3><b3>pico,11
2023-01,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2023-01,BR,Hospital Especializado,Privado,247
2023-01,SP,Hospital Especializado,Privado,53
2023-01,RJ,Hospital Especializado,Privado,22
2023-01,MG,Hospital Especializado,Privado,24
2023-01,BA,Hospital Especializado,Privado,17
2023-01,RS,Hospital Especializado,Privado,14
2023-04,BR,Hospital Especializado,P<c3><ba>blico,282
2023-04,SP,Hospital Especializado,P<c3><ba>blico,61
2023-04,RJ,Hospital Especializado,P<c3><ba>blico,25
2023-04,MG,Hospital Especializado,P<c3><ba>blico,28
2023-04,BA,Hospital Especializado,P<c3><ba>blico,19
2023-04,RS,Hospital Especializado,P<c3><ba>blico,17
2023-04,BR,Hospital Especializado,Filantr<c3><b3>pico,178
2023-04,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2023-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2023-04,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2023-04,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2023-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2023-04,BR,Hospital Especializado,Privado,244
2023-04,SP,Hospital Especializado,Privado,53
2023-04,RJ,Hospital Especializado,Privado,22
2023-04,MG,Hospital Especializado,Privado,24
2023-04,BA,Hospital Especializado,Privado,17
2023-04,RS,Hospital Especializado,Privado,15
2023-07,BR,Hospital Especializado,P<c3><ba>blico,280
2023-07,SP,Hospital Especializado,P<c3><ba>blico,61
2023-07,RJ,Hospital Especializado,P<c3><ba>blico,25
2023-07,MG,Hospital Especializado,P<c3><ba>blico,27
2023-07,BA,Hospital Especializado,P<c3><ba>blico,19
2023-07,RS,Hospital Especializado,P<c3><ba>blico,16
2023-07,BR,Hospital Especializado,Filantr<c3><b3>pico,173
2023-07,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2023-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2023-07,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2023-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2023-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2023-07,BR,Hospital Especializado,Privado,243
2023-07,SP,Hospital Especializado,Privado,53
2023-07,RJ,Hospital Especializado,Privado,21
2023-07,MG,Hospital Especializado,Privado,24
2023-07,BA,Hospital Especializado,Privado,17
2023-07,RS,Hospital Especializado,Privado,15
2023-10,BR,Hospital Especializado,P<c3><ba>blico,284
2023-10,SP,Hospital Especializado,P<c3><ba>blico,60
2023-10,RJ,Hospital Especializado,P<c3><ba>blico,24
2023-10,MG,Hospital Especializado,P<c3><ba>blico,28
2023-10,BA,Hospital Especializado,P<c3><ba>blico,19
2023-10,RS,Hospital Especializado,P<c3><ba>blico,17
2023-10,BR,Hospital Especializado,Filantr<c3><b3>pico,177
2023-10,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2023-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2023-10,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2023-10,BA,Hospital Especializado,Filantr<c3><b3>pico,12
